task,dataset,fold,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,datetime
7593,covertype,4,LightGBM_DSTL_BASE,0.8818608974027986,0.8753346080305927,2.2481181621551514,0.22634172439575195,240.48759603500366,2.2481181621551514,0.22634172439575195,240.48759603500366,1,True,7,2021-03-24 21:07:48.663292
7593,covertype,4,WeightedEnsemble_L2_DSTL_BASE,0.8818608974027986,0.8753346080305927,2.253200054168701,0.22914767265319824,240.49484491348267,0.005081892013549805,0.002805948257446289,0.007248878479003906,2,True,8,2021-03-24 21:07:48.663292
7593,covertype,4,LightGBM_DSTL_KNOW,0.8771105488717922,0.869980879541109,2.2461941242218018,0.23254609107971191,240.31410479545593,2.2461941242218018,0.23254609107971191,240.31410479545593,1,True,5,2021-03-24 21:07:48.663292
7593,covertype,4,WeightedEnsemble_L2_DSTL_KNOW,0.8771105488717922,0.869980879541109,2.250763177871704,0.23497509956359863,240.32037687301636,0.004569053649902344,0.0024290084838867188,0.006272077560424805,2,True,6,2021-03-24 21:07:48.663292
7593,covertype,4,LightGBM_BAG_L1,0.8544259134954648,0.8533153825411972,6.892804861068726,6.0728700160980225,155.27193665504456,6.892804861068726,6.0728700160980225,155.27193665504456,1,True,3,2021-03-24 21:07:48.663292
7593,covertype,5,WeightedEnsemble_L2,0.9725305932772241,0.9711174559341839,18.07356309890747,15.665773630142212,225.63759589195251,0.025597095489501953,0.05810666084289551,43.09611988067627,2,True,4,2021-03-24 21:43:34.347411
7593,covertype,5,KNeighborsDist_BAG_L1,0.9721519423073613,0.970553306394396,5.932676076889038,4.857958555221558,13.870368480682373,5.932676076889038,4.857958555221558,13.870368480682373,1,True,2,2021-03-24 21:43:34.347411
7593,covertype,5,KNeighborsUnif_BAG_L1,0.9706029156124679,0.9690941670762329,5.517484903335571,4.750551223754883,13.611534833908081,5.517484903335571,4.750551223754883,13.611534833908081,1,True,1,2021-03-24 21:43:34.347411
7593,covertype,5,LightGBM_DSTL_BASE,0.8804151391542314,0.8751434034416826,2.056818723678589,0.3150339126586914,240.51830792427063,2.056818723678589,0.3150339126586914,240.51830792427063,1,True,7,2021-03-24 21:43:34.347411
7593,covertype,5,WeightedEnsemble_L2_DSTL_BASE,0.8804151391542314,0.8751434034416826,2.0613558292388916,0.3174135684967041,240.52487587928772,0.004537105560302734,0.0023796558380126953,0.006567955017089844,2,True,8,2021-03-24 21:43:34.347411
7593,covertype,5,LightGBM_DSTL_KNOW,0.8722397204867386,0.8684512428298279,2.0851550102233887,0.21113991737365723,240.54762411117554,2.0851550102233887,0.21113991737365723,240.54762411117554,1,True,5,2021-03-24 21:43:34.347411
7593,covertype,5,WeightedEnsemble_L2_DSTL_KNOW,0.8722397204867386,0.8684512428298279,2.0894649028778076,0.2135639190673828,240.5536880493164,0.004309892654418945,0.002424001693725586,0.006063938140869141,2,True,6,2021-03-24 21:43:34.347411
7593,covertype,5,LightGBM_BAG_L1,0.852240064714893,0.8530820732399969,6.597805023193359,5.999157190322876,155.0595726966858,6.597805023193359,5.999157190322876,155.0595726966858,1,True,3,2021-03-24 21:43:34.347411
7593,covertype,6,WeightedEnsemble_L2,0.9730985697320184,0.9710428734526525,12.41167426109314,10.666707992553711,214.1008243560791,0.018480300903320312,0.05035519599914551,44.099151849746704,2,True,4,2021-03-24 22:18:41.829611
7593,covertype,6,KNeighborsDist_BAG_L1,0.972478959054061,0.9705360950525042,5.954361200332642,4.484412670135498,14.015705585479736,5.954361200332642,4.484412670135498,14.015705585479736,1,True,2,2021-03-24 22:18:41.829611
7593,covertype,6,KNeighborsUnif_BAG_L1,0.971084835028657,0.969076955734341,6.031462907791138,4.954574108123779,13.890251636505127,6.031462907791138,4.954574108123779,13.890251636505127,1,True,1,2021-03-24 22:18:41.829611
7593,covertype,6,LightGBM_DSTL_BASE,0.8836164609903444,0.875717017208413,2.106506824493408,0.22244882583618164,240.29325795173645,2.106506824493408,0.22244882583618164,240.29325795173645,1,True,7,2021-03-24 22:18:41.829611
7593,covertype,6,WeightedEnsemble_L2_DSTL_BASE,0.8836164609903444,0.875717017208413,2.1108310222625732,0.22486186027526855,240.2995228767395,0.004324197769165039,0.002413034439086914,0.006264925003051758,2,True,8,2021-03-24 22:18:41.829611
7593,covertype,6,LightGBM_DSTL_KNOW,0.8766286294556032,0.8694072657743785,2.2001450061798096,0.235306978225708,240.35450410842896,2.2001450061798096,0.235306978225708,240.35450410842896,1,True,5,2021-03-24 22:18:41.829611
7593,covertype,6,WeightedEnsemble_L2_DSTL_KNOW,0.8766286294556032,0.8694072657743785,2.204785108566284,0.23764586448669434,240.36073517799377,0.004640102386474609,0.002338886260986328,0.006231069564819336,2,True,6,2021-03-24 22:18:41.829611
7593,covertype,6,LightGBM_BAG_L1,0.8555274435896112,0.8531413567509576,6.438832759857178,6.131940126419067,155.98596692085266,6.438832759857178,6.131940126419067,155.98596692085266,1,True,3,2021-03-24 22:18:41.829611
7593,covertype,7,WeightedEnsemble_L2,0.972892032839366,0.9709931517982984,12.827775955200195,11.182442903518677,213.60352396965027,0.020299911499023438,0.04995584487915039,43.757879972457886,2,True,4,2021-03-24 22:53:50.414234
7593,covertype,7,KNeighborsDist_BAG_L1,0.9719626168224299,0.9706584868170683,5.936934947967529,4.913777589797974,13.921652793884277,5.936934947967529,4.913777589797974,13.921652793884277,1,True,2,2021-03-24 22:53:50.414234
7593,covertype,7,KNeighborsUnif_BAG_L1,0.9707061840587942,0.9691171155320887,5.508109092712402,4.5699193477630615,13.768941164016724,5.508109092712402,4.5699193477630615,13.768941164016724,1,True,1,2021-03-24 22:53:50.414234
7593,covertype,7,LightGBM_DSTL_BASE,0.8808282129395363,0.8747609942638623,2.3511340618133545,0.34535789489746094,240.33095288276672,2.3511340618133545,0.34535789489746094,240.33095288276672,1,True,7,2021-03-24 22:53:50.414234
7593,covertype,7,WeightedEnsemble_L2_DSTL_BASE,0.8808282129395363,0.8747609942638623,2.356208086013794,0.34769272804260254,240.33712100982666,0.005074024200439453,0.0023348331451416016,0.0061681270599365234,2,True,8,2021-03-24 22:53:50.414234
7593,covertype,7,LightGBM_DSTL_KNOW,0.8748042202371732,0.8701720841300191,2.268273115158081,0.24075984954833984,240.49475288391113,2.268273115158081,0.24075984954833984,240.49475288391113,1,True,5,2021-03-24 22:53:50.414234
7593,covertype,7,WeightedEnsemble_L2_DSTL_KNOW,0.8748042202371732,0.8701720841300191,2.273160934448242,0.2431957721710205,240.5012559890747,0.004887819290161133,0.002435922622680664,0.006503105163574219,2,True,6,2021-03-24 22:53:50.414234
7593,covertype,7,LightGBM_BAG_L1,0.8550971583965853,0.854717150719721,6.870541095733643,6.218709468841553,155.9239912033081,6.870541095733643,6.218709468841553,155.9239912033081,1,True,3,2021-03-24 22:53:50.414234
7593,covertype,8,WeightedEnsemble_L2,0.972478959054061,0.9709702033424426,10.211463212966919,8.524993419647217,164.32709622383118,0.016794204711914062,0.04997611045837402,44.25925612449646,2,True,4,2021-03-24 23:28:33.930135
7593,covertype,8,KNeighborsDist_BAG_L1,0.9723240563845716,0.9705972909347862,5.837314128875732,4.555483102798462,14.068195343017578,5.837314128875732,4.555483102798462,14.068195343017578,1,True,2,2021-03-24 23:28:33.930135
7593,covertype,8,KNeighborsUnif_BAG_L1,0.9704480129429786,0.9691916980136199,5.733321905136108,4.4691853523254395,13.921765804290771,5.733321905136108,4.4691853523254395,13.921765804290771,1,True,1,2021-03-24 23:28:33.930135
7593,covertype,8,LightGBM_DSTL_BASE,0.883857420698439,0.8783938814531549,2.03873610496521,0.21646904945373535,240.61417388916016,2.03873610496521,0.21646904945373535,240.61417388916016,1,True,7,2021-03-24 23:28:33.930135
7593,covertype,8,WeightedEnsemble_L2_DSTL_BASE,0.883857420698439,0.8783938814531549,2.0428123474121094,0.2188260555267334,240.62028574943542,0.004076242446899414,0.002357006072998047,0.006111860275268555,2,True,8,2021-03-24 23:28:33.930135
7593,covertype,8,LightGBM_DSTL_KNOW,0.875131236983873,0.8686424474187381,1.9841437339782715,0.21422910690307617,240.29941773414612,1.9841437339782715,0.21422910690307617,240.29941773414612,1,True,5,2021-03-24 23:28:33.930135
7593,covertype,8,WeightedEnsemble_L2_DSTL_KNOW,0.875131236983873,0.8686424474187381,1.9883906841278076,0.21654605865478516,240.30552673339844,0.004246950149536133,0.0023169517517089844,0.006108999252319336,2,True,6,2021-03-24 23:28:33.930135
7593,covertype,8,LightGBM_BAG_L1,0.8342713550541299,0.8319714062240037,4.3573548793792725,3.919534206390381,105.99964475631714,4.3573548793792725,3.919534206390381,105.99964475631714,1,True,3,2021-03-24 23:28:33.930135
7593,covertype,9,KNeighborsDist_BAG_L1,0.972478959054061,0.9706164146479994,5.800534009933472,4.6649627685546875,13.833933353424072,5.800534009933472,4.6649627685546875,13.833933353424072,1,True,2,2021-03-25 00:03:02.370357
7593,covertype,9,WeightedEnsemble_L2,0.9721863651228034,0.9709166569454458,10.2360200881958,8.715524196624756,164.0639123916626,0.018270015716552734,0.05030989646911621,44.14310097694397,2,True,4,2021-03-25 00:03:02.370357
7593,covertype,9,KNeighborsUnif_BAG_L1,0.9707750296896783,0.969283491837043,5.8124589920043945,4.565661668777466,13.735445737838745,5.8124589920043945,4.565661668777466,13.735445737838745,1,True,1,2021-03-25 00:03:02.370357
